City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Chokurdakh,RU,70.6333,147.9167,81.57,26,94,22.95,overcast clouds
205,Banyo,CM,6.75,11.8167,63.28,97,99,1.25,overcast clouds
206,Tocache,PE,-8.1842,-76.5125,67.59,92,16,0.89,few clouds
207,Vazhiny,RU,60.9644,34.0222,71.53,61,67,4.05,broken clouds
208,Egvekinot,RU,66.3167,-179.1667,44.2,81,96,4.41,overcast clouds
209,Urucara,BR,-2.5364,-57.76,74.25,92,54,2.46,broken clouds
210,Darhan,MN,49.4867,105.9228,59.56,76,100,7.61,heavy intensity rain
211,Siocon,PH,7.7061,122.1353,83.88,76,100,2.86,overcast clouds
212,Hervey Bay,AU,-25.2986,152.8535,59.02,96,100,4.0,light rain
213,Moroni,KM,-11.7022,43.2551,69.8,83,20,5.75,few clouds
214,Nikolskoye,RU,59.7035,30.7861,64.87,97,98,3.04,overcast clouds
215,Asau,RO,46.4333,26.4,70.72,60,4,1.12,clear sky
216,Dunedin,NZ,-45.8742,170.5036,52.81,55,4,3.0,clear sky
217,Hasaki,JP,35.7333,140.8333,86.4,74,100,22.21,overcast clouds
218,Ugoofaaru,MV,5.6667,73.0,83.21,78,100,15.08,overcast clouds
219,Najran,SA,17.4924,44.1277,86.65,17,3,19.1,clear sky
220,Chiredzi,ZW,-21.05,31.6667,56.95,85,0,2.57,clear sky
221,Augusto Correa,BR,-1.0217,-46.635,71.1,96,4,2.46,clear sky
222,La Macarena,CO,2.1837,-73.7849,70.25,99,81,1.03,broken clouds
223,Mahebourg,MU,-20.4081,57.7,73.26,73,75,11.5,broken clouds
224,Suntar,RU,62.1444,117.6319,59.68,96,100,5.03,light rain
225,Hoquiam,US,46.9809,-123.8893,57.99,87,79,3.69,broken clouds
226,Porto Santo,PT,33.072,-16.3415,66.58,72,75,11.5,broken clouds
227,Ostrovnoy,RU,68.0531,39.5131,53.85,88,90,6.42,overcast clouds
228,Cassilandia,BR,-19.1133,-51.7342,62.26,45,64,2.57,broken clouds
